name,platform_links
Espinoza Paz,"https://www.facebook.com/EspinozaPaz, https://www.instagram.com/espinozapaz, https://tiktok.xom/@espinozapaz"
Matisse MX,"https://www.facebook.com/matisseMxOficial, https://www.instagram.com/matisse_mx, https://tiktok.xom/@matisse_mx"
Juan Salazar,"https://www.facebook.com/JuanSalazarJS, https://www.instagram.com/juansalazarjs/, https://www.tiktok.com/@juansalazarjs"
Andrea Nuñez,"https://www.facebook.com/andreaberenu, https://www.instagram.com/andreannu/, "
Angel TierraBlanca,"https://www.facebook.com/AngelTierraBlanca.oficial, https://www.instagram.com/angel_tierrablanca/, https://www.tiktok.com/@tierrablanca_angel"
Teo y Diego,"https://www.facebook.com/teoydiego, https://www.instagram.com/teoydiego/, https://www.tiktok.com/@teoydiego"
Cano Aguilar,"https://www.facebook.com/canoaguilaroficial, https://www.instagram.com/canoaguilaroficial/, https://www.tiktok.com/@canoaguilaroficial1"
Jose Nuñez El Rayo,https://www.instagram.com/josenrayo/
Carolina Ross,"https://www.facebook.com/carolinarossmedia, https://www.instagram.com/carolinaross/, https://www.tiktok.com/@carolinarossmusic"
Christian Nodal,"https://www.facebook.com/christiannodaloficialmx, https://www.instagram.com/nodal/, https://www.tiktok.com/@christiannodal?lang=es"
Joss Favela,"https://www.facebook.com/JossFavela, https://www.instagram.com/jossfavela/, https://www.tiktok.com/@jossfavela?lang=es"
Angela Aguilar,"https://www.facebook.com/AngelaAguilarOficial, https://www.instagram.com/angela_aguilar_/, https://www.tiktok.com/@angelaaguilar_?lang=es"
Los HH,"https://www.facebook.com/grupoloshh, https://www.instagram.com/loshhoficial/, https://www.tiktok.com/@loshhoficial?lang=es"
Jacobbo,https://www.instagram.com/jaacobbo_/
Talento Lider,"https://www.instagram.com/talentolider/, https://www.tiktok.com/@talentolideroficial"
Manu Medina,"https://www.facebook.com/ManuMedinaNET, https://www.instagram.com/manumedinaofficial/, https://www.tiktok.com/@manumedinaofficial"
Gael Cardona,"https://www.facebook.com/profile.php?id=100094201448078, https://www.instagram.com/gael.cardona01/, https://www.tiktok.com/@gaelcardona01"
Luis Ma Rodriguez Rojas,"https://www.facebook.com/luismanuel.rodriguezrojas.7, https://www.instagram.com/luisma.rr/"
Efren Amancio,https://www.instagram.com/elefrennn/
Hugo Coronel,"https://www.facebook.com/profile.php?id=100089843889978, https://www.instagram.com/hugocoroneloficial/, https://www.tiktok.com/@hugocoroneloficial"
Grupo Historia,"https://www.facebook.com/GrupoHistoria1, https://www.instagram.com/grupohistoriaofficial/, https://www.tiktok.com/@grupohistoriaofficial"
Latin Power Music,"https://www.facebook.com/latinpowermusic, https://www.instagram.com/latinpowermusic/, https://www.tiktok.com/@latinpowermusic"
Katia Verduzco,"https://www.facebook.com/katia.verduzco, https://www.instagram.com/oficialkatia/, https://www.tiktok.com/@katiaofficial"
Ivann Flores,"https://www.facebook.com/profile.php?id=100092189030326, https://www.instagram.com/ivannfloresoficial/, https://www.tiktok.com/@ivanciniflores"
Banda La Ejecutiva,"https://www.facebook.com/BandaLaEjecutivaOficial, https://www.instagram.com/bandalaejecutivaoficial/, https://www.tiktok.com/@laejecutivaoficial"
Aaron Montoya,"https://www.instagram.com/mpaaronmx/, https://www.tiktok.com/@mprecordsmx?_t=8oh4vC9Geu6&_r=1"
Santos Guzman,"https://www.facebook.com/santosguzmanoficial, https://www.instagram.com/santosguzmanoficial/, https://www.tiktok.com/@santosguzmanoficial"
Platas Oficial,"https://www.facebook.com/profile.php?id=100095215121377, https://www.instagram.com/platasoficial/, https://www.tiktok.com/@platasoficial"
Kevin Melendres,"https://www.facebook.com/KevinMelendresOficial, https://www.instagram.com/kevinmelendresoriginal/, https://www.tiktok.com/@kevinmelendresoriginal"
Javi Autentica,https://www.instagram.com/javi_autentica/
Roman Nevarez,https://www.instagram.com/roman_oblimon/
Cristian Jacobo,"https://www.facebook.com/cristianjacobooficial, https://www.instagram.com/cristianjacobooficial/, https://www.tiktok.com/@cristianjacobooficial"
Edgar Martin Delgadillo,"https://www.facebook.com/edgar.martindelgadillo.9/, https://www.instagram.com/edgar_kartel_music/, "
Tinajero Tuba,https://www.instagram.com/tinajerotuba/
Francisco Oliva,https://www.instagram.com/franciscooliva_/
La Zona X,https://www.instagram.com/lazonax_/
Jorge Luis Mancillas,https://www.instagram.com/jlmancillas/
Humberto Tierra Cali,https://www.instagram.com/tierracalihumberto/
Victor Noriega,https://www.instagram.com/vicnoriegaoblimon/
Autenticos Reyes De Jerez,https://www.instagram.com/autenticosreyesoficial/
Cesar Mondragon,https://www.instagram.com/cesar_blackout/
Angel Cano,https://www.instagram.com/angelg_cano/
Banda Machos,"https://www.facebook.com/BandaMachosUsaInc, https://www.instagram.com/bandamachosoficial/, https://www.tiktok.com/@bandamachos_"
Alex V,https://www.instagram.com/alexv.av/
Daniel Avalos,https://www.instagram.com/daaniel_avalos/
Carlos Saucedo y Regados,https://www.instagram.com/carlossaucedo_yregados/
Leo Peña,https://www.instagram.com/leopenaoficial/
Tercia de reyes y su tuba loca,https://www.instagram.com/terciadereyesysutubaloca/
Banda La Prendida,https://www.instagram.com/bandalaprendida/
Eduin Caz,"https://www.facebook.com/Eduincazoficial1, https://www.instagram.com/eduincaz/, https://www.tiktok.com/@eduincaz5"
Andrea Nuñez hh,"https://www.facebook.com/andrea.berenicen, https://www.instagram.com/andreanunez_mx/, https://www.tiktok.com/@andreanunez_mx"
Julio Haro,https://www.instagram.com/julioharooficial/
