artist_id,name,platform_links,genre,created_at
2,Espinoza Paz,"https://www.facebook.com/EspinozaPaz, https://www.instagram.com/espinozapaz, https://tiktok.xom/@espinozapaz",Regional mexicano,2024-09-10 23:32:25.970343+00
3,Matisse MX,"https://www.facebook.com/matisseMxOficial, https://www.instagram.com/matisse_mx, https://tiktok.xom/@matisse_mx","Regional mexicano, Pop, Folk",2024-09-10 23:43:27.855409+00
4,Juan Salazar,"https://www.facebook.com/JuanSalazarJS, https://www.instagram.com/juansalazarjs/, https://www.tiktok.com/@juansalazarjs",Regional Mexicano,2024-09-12 23:27:17.39026+00
5,Andrea Nuñez,"https://www.facebook.com/andreaberenu, https://www.instagram.com/andreannu/, ","Regional Mexicano, Pop, Folk",2024-09-12 23:37:52.553991+00
6,Angel TierraBlanca,"https://www.facebook.com/AngelTierraBlanca.oficial, https://www.instagram.com/angel_tierrablanca/, https://www.tiktok.com/@tierrablanca_angel",Regional Mexicano,2024-09-12 23:42:15.184907+00
7,Teo y Diego,"https://www.facebook.com/teoydiego, https://www.instagram.com/teoydiego/, https://www.tiktok.com/@teoydiego","Regional Mexicano, Pop, Folk",2024-09-12 23:45:03.130583+00
8,Cano Aguilar,"https://www.facebook.com/canoaguilaroficial, https://www.instagram.com/canoaguilaroficial/, https://www.tiktok.com/@canoaguilaroficial1","Regional Mexicano, Corridos, Norteño",2024-09-12 23:47:24.832698+00
9,Jose Nuñez El Rayo,https://www.instagram.com/josenrayo/,Regional Mexicano,2024-09-12 23:49:22.117448+00
11,Carolina Ross,"https://www.facebook.com/carolinarossmedia, https://www.instagram.com/carolinaross/, https://www.tiktok.com/@carolinarossmusic",Regional Mexicano,2024-09-13 18:40:22.593968+00
12,Christian Nodal,"https://www.facebook.com/christiannodaloficialmx, https://www.instagram.com/nodal/, https://www.tiktok.com/@christiannodal?lang=es",Regional Mexicano,2024-09-13 21:17:57.646599+00
13,Joss Favela,"https://www.facebook.com/JossFavela, https://www.instagram.com/jossfavela/, https://www.tiktok.com/@jossfavela?lang=es",Regional Mexicano,2024-09-13 21:23:23.261101+00
14,Angela Aguilar,"https://www.facebook.com/AngelaAguilarOficial, https://www.instagram.com/angela_aguilar_/, https://www.tiktok.com/@angelaaguilar_?lang=es","Regional Mexicano, Pop",2024-09-13 21:24:30.790205+00
16,Los HH,"https://www.facebook.com/grupoloshh, https://www.instagram.com/loshhoficial/, https://www.tiktok.com/@loshhoficial?lang=es",Regional Mexicano,2024-09-13 23:15:35.459175+00
17,Jacobbo,https://www.instagram.com/jaacobbo_/,Regional Mexicano,2024-09-17 17:44:51.703118+00
18,Talento Lider,"https://www.instagram.com/talentolider/, https://www.tiktok.com/@talentolideroficial","Regional Mexicano, Pop, Trap, Corridos",2024-09-17 17:55:56.970021+00
19,Manu Medina,"https://www.facebook.com/ManuMedinaNET, https://www.instagram.com/manumedinaofficial/, https://www.tiktok.com/@manumedinaofficial",Regional Mexicano,2024-09-17 18:11:43.589018+00
20,Gael Cardona,"https://www.facebook.com/profile.php?id=100094201448078, https://www.instagram.com/gael.cardona01/, https://www.tiktok.com/@gaelcardona01","Regional Mexicano, Rap, Corridos",2024-09-17 20:03:06.783469+00
21,Luis Ma Rodriguez Rojas,"https://www.facebook.com/luismanuel.rodriguezrojas.7, https://www.instagram.com/luisma.rr/",Regional Mexicano,2024-09-17 20:35:22.402983+00
22,Efren Amancio,https://www.instagram.com/elefrennn/,"Regional Mexicano, corridos",2024-09-17 20:48:59.666416+00
23,Hugo Coronel,"https://www.facebook.com/profile.php?id=100089843889978, https://www.instagram.com/hugocoroneloficial/, https://www.tiktok.com/@hugocoroneloficial",Regional Mexicano,2024-09-17 21:29:25.555794+00
24,Grupo Historia,"https://www.facebook.com/GrupoHistoria1, https://www.instagram.com/grupohistoriaofficial/, https://www.tiktok.com/@grupohistoriaofficial",Regional Mexicano,2024-09-17 21:45:18.055697+00
25,Latin Power Music,"https://www.facebook.com/latinpowermusic, https://www.instagram.com/latinpowermusic/, https://www.tiktok.com/@latinpowermusic",Regional Mexicano,2024-09-17 23:37:10.905426+00
26,Katia Verduzco,"https://www.facebook.com/katia.verduzco, https://www.instagram.com/oficialkatia/, https://www.tiktok.com/@katiaofficial","Regional Mexicano, Corridos",2024-09-17 23:52:42.702596+00
27,Ivann Flores,"https://www.facebook.com/profile.php?id=100092189030326, https://www.instagram.com/ivannfloresoficial/, https://www.tiktok.com/@ivanciniflores","Regional Mexicano, Corridos",2024-09-18 00:01:08.2863+00
28,Banda La Ejecutiva,"https://www.facebook.com/BandaLaEjecutivaOficial, https://www.instagram.com/bandalaejecutivaoficial/, https://www.tiktok.com/@laejecutivaoficial",Regional Mexicano,2024-09-18 21:19:18.637218+00
29,Aaron Montoya,"https://www.instagram.com/mpaaronmx/, https://www.tiktok.com/@mprecordsmx?_t=8oh4vC9Geu6&_r=1",Regional Mexicano,2024-09-18 21:23:17.66978+00
30,Santos Guzman,"https://www.facebook.com/santosguzmanoficial, https://www.instagram.com/santosguzmanoficial/, https://www.tiktok.com/@santosguzmanoficial",Regional Mexicano,2024-09-18 21:26:48.610308+00
31,Platas Oficial,"https://www.facebook.com/profile.php?id=100095215121377, https://www.instagram.com/platasoficial/, https://www.tiktok.com/@platasoficial",Regional Mexicano,2024-09-18 21:29:54.07194+00
